comparison,dataset,metric,reference_value,current_value,delta,notes
reference_vs_current,ds_entregas_sge_dia,oof::mae,1.550639634122725,1.550639634122725,0.0,
reference_vs_current,ds_entregas_sge_dia,oof::wape,1.2400574737912968,1.2400574737912968,0.0,
reference_vs_current,ds_entregas_sge_dia,oof::bias,0.4213174501495693,0.4213174501495693,0.0,
reference_vs_current,ds_entregas_sge_dia,oof::n,26208,26208,0.0,
reference_vs_current,ds_entregas_sge_semana,oof::mae,10.92028105162563,10.92028105162563,0.0,
reference_vs_current,ds_entregas_sge_semana,oof::wape,1.2073266156167668,1.2073266156167668,0.0,
reference_vs_current,ds_entregas_sge_semana,oof::bias,0.6231761403349776,0.6231761403349776,0.0,
reference_vs_current,ds_entregas_sge_semana,oof::n,5110,5110,0.0,
reference_vs_current,ds_entregas_sgp_dia,oof::mae,6.349469491991046,6.349214556225102,-0.00025493576594382006,
reference_vs_current,ds_entregas_sgp_dia,oof::wape,1.273333765254896,1.2728151444119165,-0.0005186208429794892,
reference_vs_current,ds_entregas_sgp_dia,oof::bias,0.49917345758886955,0.4989648030217222,-0.00020865456714735942,
reference_vs_current,ds_entregas_sgp_dia,oof::n,26208,26208,0.0,
reference_vs_current,ds_entregas_sgp_semana,oof::mae,45.73028206023406,45.57593663619553,-0.15434542403853158,
reference_vs_current,ds_entregas_sgp_semana,oof::wape,1.2779619990035604,1.2731613295665392,-0.004800669437021288,
reference_vs_current,ds_entregas_sgp_semana,oof::bias,0.7268208432558292,0.722230676662342,-0.0045901665934872105,
reference_vs_current,ds_entregas_sgp_semana,oof::n,5110,5110,0.0,
reference_vs_current,ds_picking_lines_pi_dia,oof::mae,35.3724986783006,35.22026708344441,-0.15223159485618964,
reference_vs_current,ds_picking_lines_pi_dia,oof::wape,1.0979060100641362,1.0821875118779727,-0.015718498186163554,
reference_vs_current,ds_picking_lines_pi_dia,oof::bias,0.507471192523866,0.4887353702600514,-0.01873582226381454,
reference_vs_current,ds_picking_lines_pi_dia,oof::n,16828,16968,140.0,
reference_vs_current,ds_picking_lines_pi_semana,oof::mae,219.1139952480541,218.06177996725043,-1.052215280803665,
reference_vs_current,ds_picking_lines_pi_semana,oof::wape,0.9694972186580297,0.9624140691530269,-0.007083149505002884,
reference_vs_current,ds_picking_lines_pi_semana,oof::bias,0.5472734358596688,0.5401632614113177,-0.007110174448351159,
reference_vs_current,ds_picking_lines_pi_semana,oof::n,3815,3850,35.0,
reference_vs_current,ds_picking_units_pi_dia,oof::mae,2561.558011543717,2557.241489739865,-4.316521803852083,
reference_vs_current,ds_picking_units_pi_dia,oof::wape,1.210165951378508,1.1921247037423817,-0.018041247636126245,
reference_vs_current,ds_picking_units_pi_dia,oof::bias,0.469012791397178,0.45341003975360916,-0.015602751643568835,
reference_vs_current,ds_picking_units_pi_dia,oof::n,16828,16968,140.0,
reference_vs_current,ds_picking_units_pi_semana,oof::mae,14041.76710302936,14037.588652374108,-4.178450655252163,
reference_vs_current,ds_picking_units_pi_semana,oof::wape,0.9654553948611433,0.9602189243913416,-0.005236470469801691,
reference_vs_current,ds_picking_units_pi_semana,oof::bias,0.49554039713909104,0.4947497084066668,-0.0007906887324242162,
reference_vs_current,ds_picking_units_pi_semana,oof::n,3815,3850,35.0,
reference_vs_current,ds_recogidas_ege_dia,oof::mae,1.3804579814538809,1.3804579814538809,0.0,
reference_vs_current,ds_recogidas_ege_dia,oof::wape,1.3281586922886677,1.3281586922886677,0.0,
reference_vs_current,ds_recogidas_ege_dia,oof::bias,0.5358076826556223,0.5358076826556223,0.0,
reference_vs_current,ds_recogidas_ege_dia,oof::n,26208,26208,0.0,
reference_vs_current,ds_recogidas_ege_semana,oof::mae,9.079121385404166,9.079121385404166,0.0,
reference_vs_current,ds_recogidas_ege_semana,oof::wape,1.2063003192775685,1.2063003192775685,0.0,
reference_vs_current,ds_recogidas_ege_semana,oof::bias,0.6563978718214601,0.6563978718214601,0.0,
reference_vs_current,ds_recogidas_ege_semana,oof::n,5110,5110,0.0,
reference_vs_current,fva_daily::entregas_sge::h1,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h1,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h1,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h1,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h2,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h2,wape,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h2,bias,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h2,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h3,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h3,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h3,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h3,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h4,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h4,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h4,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h4,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h5,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h5,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h5,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h5,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h6,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h6,wape,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h6,bias,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h6,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h7,mae,3.0,3.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h7,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h7,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h7,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h8,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h8,wape,0.5,0.5,0.0,
reference_vs_current,fva_daily::entregas_sge::h8,bias,-0.5,-0.5,0.0,
reference_vs_current,fva_daily::entregas_sge::h8,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h9,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h9,wape,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h9,bias,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h9,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h10,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h10,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h10,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h10,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h11,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h11,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h11,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h11,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h12,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h12,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h12,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h12,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h13,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h13,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h13,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h13,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h14,mae,3.0,3.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h14,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h14,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h14,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h15,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h15,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h15,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h15,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h16,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h16,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h16,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h16,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h17,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h17,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h17,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h17,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h18,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h18,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h18,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h18,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h19,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h19,wape,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h19,bias,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h19,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h20,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h20,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h20,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h20,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h21,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h21,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h21,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h21,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h22,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h22,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h22,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h22,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h23,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h23,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h23,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h23,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h24,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h24,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h24,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h24,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h25,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h25,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h25,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h25,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h26,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h26,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h26,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h26,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h27,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h27,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h27,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h27,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sge::h28,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::entregas_sge::h28,wape,,,,
reference_vs_current,fva_daily::entregas_sge::h28,bias,,,,
reference_vs_current,fva_daily::entregas_sge::h28,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h1,mae,13.5,13.5,0.0,
reference_vs_current,fva_daily::entregas_sgp::h1,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h1,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h1,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h2,mae,15.0,15.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h2,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h2,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h2,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h3,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h3,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h3,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h3,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h4,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h4,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h4,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h4,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h5,mae,7.699999999999999,7.699999999999999,0.0,
reference_vs_current,fva_daily::entregas_sgp::h5,wape,2.5666666666666664,2.5666666666666664,0.0,
reference_vs_current,fva_daily::entregas_sgp::h5,bias,2.5666666666666664,2.5666666666666664,0.0,
reference_vs_current,fva_daily::entregas_sgp::h5,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h6,mae,6.3,6.3,0.0,
reference_vs_current,fva_daily::entregas_sgp::h6,wape,6.3,6.3,0.0,
reference_vs_current,fva_daily::entregas_sgp::h6,bias,6.3,6.3,0.0,
reference_vs_current,fva_daily::entregas_sgp::h6,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h7,mae,7.949999999999999,7.949999999999999,0.0,
reference_vs_current,fva_daily::entregas_sgp::h7,wape,7.949999999999999,7.949999999999999,0.0,
reference_vs_current,fva_daily::entregas_sgp::h7,bias,7.949999999999999,7.949999999999999,0.0,
reference_vs_current,fva_daily::entregas_sgp::h7,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h8,mae,13.25,13.25,0.0,
reference_vs_current,fva_daily::entregas_sgp::h8,wape,13.25,13.25,0.0,
reference_vs_current,fva_daily::entregas_sgp::h8,bias,13.25,13.25,0.0,
reference_vs_current,fva_daily::entregas_sgp::h8,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h9,mae,7.5,7.5,0.0,
reference_vs_current,fva_daily::entregas_sgp::h9,wape,0.9375,0.9375,0.0,
reference_vs_current,fva_daily::entregas_sgp::h9,bias,0.9375,0.9375,0.0,
reference_vs_current,fva_daily::entregas_sgp::h9,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h10,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h10,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h10,bias,,,,
