comparison,dataset,metric,reference_value,current_value,delta,notes
reference_vs_current,fva_daily::entregas_sgp::h10,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h11,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h11,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h11,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h11,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h12,mae,9.0,9.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h12,wape,4.5,4.5,0.0,
reference_vs_current,fva_daily::entregas_sgp::h12,bias,4.5,4.5,0.0,
reference_vs_current,fva_daily::entregas_sgp::h12,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h13,mae,7.5,7.5,0.0,
reference_vs_current,fva_daily::entregas_sgp::h13,wape,7.5,7.5,0.0,
reference_vs_current,fva_daily::entregas_sgp::h13,bias,7.5,7.5,0.0,
reference_vs_current,fva_daily::entregas_sgp::h13,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h14,mae,8.5,8.5,0.0,
reference_vs_current,fva_daily::entregas_sgp::h14,wape,4.25,4.25,0.0,
reference_vs_current,fva_daily::entregas_sgp::h14,bias,4.25,4.25,0.0,
reference_vs_current,fva_daily::entregas_sgp::h14,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h15,mae,13.625,13.625,0.0,
reference_vs_current,fva_daily::entregas_sgp::h15,wape,13.625,13.625,0.0,
reference_vs_current,fva_daily::entregas_sgp::h15,bias,13.625,13.625,0.0,
reference_vs_current,fva_daily::entregas_sgp::h15,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h16,mae,14.75,14.75,0.0,
reference_vs_current,fva_daily::entregas_sgp::h16,wape,14.75,14.75,0.0,
reference_vs_current,fva_daily::entregas_sgp::h16,bias,14.75,14.75,0.0,
reference_vs_current,fva_daily::entregas_sgp::h16,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h17,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h17,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h17,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h17,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h18,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h18,wape,1.0,1.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h18,bias,-1.0,-1.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h18,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h19,mae,11.5,11.5,0.0,
reference_vs_current,fva_daily::entregas_sgp::h19,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h19,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h19,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h20,mae,8.75,8.75,0.0,
reference_vs_current,fva_daily::entregas_sgp::h20,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h20,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h20,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h21,mae,10.25,10.25,0.0,
reference_vs_current,fva_daily::entregas_sgp::h21,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h21,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h21,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h22,mae,14.8125,14.8125,0.0,
reference_vs_current,fva_daily::entregas_sgp::h22,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h22,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h22,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h23,mae,14.625,14.625,0.0,
reference_vs_current,fva_daily::entregas_sgp::h23,wape,14.625,14.625,0.0,
reference_vs_current,fva_daily::entregas_sgp::h23,bias,14.625,14.625,0.0,
reference_vs_current,fva_daily::entregas_sgp::h23,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h24,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h24,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h24,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h24,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h25,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::entregas_sgp::h25,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h25,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h25,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h26,mae,11.25,11.25,0.0,
reference_vs_current,fva_daily::entregas_sgp::h26,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h26,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h26,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h27,mae,8.875,8.875,0.0,
reference_vs_current,fva_daily::entregas_sgp::h27,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h27,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h27,n,1,1,0.0,
reference_vs_current,fva_daily::entregas_sgp::h28,mae,10.375,10.375,0.0,
reference_vs_current,fva_daily::entregas_sgp::h28,wape,,,,
reference_vs_current,fva_daily::entregas_sgp::h28,bias,,,,
reference_vs_current,fva_daily::entregas_sgp::h28,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h1,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h1,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h1,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h1,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h2,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h2,wape,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h2,bias,-1.0,-1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h2,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h3,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h3,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h3,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h3,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h4,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h4,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h4,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h4,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h5,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h5,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h5,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h5,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h6,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h6,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h6,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h6,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h7,mae,3.0,3.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h7,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h7,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h7,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h8,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h8,wape,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h8,bias,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h8,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h9,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h9,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h9,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h9,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h10,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h10,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h10,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h10,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h11,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h11,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h11,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h11,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h12,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h12,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h12,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h12,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h13,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h13,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h13,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h13,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h14,mae,3.0,3.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h14,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h14,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h14,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h15,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h15,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h15,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h15,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h16,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h16,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h16,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h16,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h17,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h17,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h17,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h17,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h18,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h18,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h18,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h18,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h19,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h19,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h19,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h19,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h20,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h20,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h20,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h20,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h21,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h21,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h21,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h21,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h22,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h22,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h22,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h22,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h23,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h23,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h23,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h23,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h24,mae,1.0,1.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h24,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h24,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h24,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h25,mae,0.0,0.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h25,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h25,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h25,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h26,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h26,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h26,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h26,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h27,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h27,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h27,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h27,n,1,1,0.0,
reference_vs_current,fva_daily::recogidas_ege::h28,mae,2.0,2.0,0.0,
reference_vs_current,fva_daily::recogidas_ege::h28,wape,,,,
reference_vs_current,fva_daily::recogidas_ege::h28,bias,,,,
reference_vs_current,fva_daily::recogidas_ege::h28,n,1,1,0.0,
reference_vs_current,ds_entregas_sge_dia,winner_model,linear_full,linear_full,,
reference_vs_current,ds_entregas_sge_dia,winner_mean_wape,0.8854940216932963,0.8854940216932963,0.0,
reference_vs_current,ds_entregas_sge_semana,winner_model,seasonal_naive,seasonal_naive,,
reference_vs_current,ds_entregas_sge_semana,winner_mean_wape,0.6317031706974233,0.6317031706974233,0.0,
reference_vs_current,ds_entregas_sgp_dia,winner_model,median_dow,median_dow,,
reference_vs_current,ds_entregas_sgp_dia,winner_mean_wape,0.6356850993248543,0.6356850993248543,0.0,
reference_vs_current,ds_entregas_sgp_semana,winner_model,boosting_full,boosting_full,,
reference_vs_current,ds_entregas_sgp_semana,winner_mean_wape,0.6261486041101373,0.6261486041101373,0.0,
reference_vs_current,ds_picking_lines_pi_dia,winner_model,boosting_full,boosting_full,,
reference_vs_current,ds_picking_lines_pi_dia,winner_mean_wape,0.4922536496962056,0.4922536496962056,0.0,
reference_vs_current,ds_picking_lines_pi_semana,winner_model,seasonal_naive,seasonal_naive,,
reference_vs_current,ds_picking_lines_pi_semana,winner_mean_wape,0.3526243133566799,0.3526243133566799,0.0,
reference_vs_current,ds_picking_units_pi_dia,winner_model,median_dow,median_dow,,
reference_vs_current,ds_picking_units_pi_dia,winner_mean_wape,0.6118018415052111,0.6118018415052111,0.0,
reference_vs_current,ds_picking_units_pi_semana,winner_model,seasonal_naive,seasonal_naive,,
reference_vs_current,ds_picking_units_pi_semana,winner_mean_wape,0.371829872642463,0.371829872642463,0.0,
reference_vs_current,ds_recogidas_ege_dia,winner_model,linear_full,linear_full,,
reference_vs_current,ds_recogidas_ege_dia,winner_mean_wape,0.7684016888312852,0.7684016888312852,0.0,
reference_vs_current,ds_recogidas_ege_semana,winner_model,seasonal_naive,seasonal_naive,,
reference_vs_current,ds_recogidas_ege_semana,winner_mean_wape,0.4813558171741512,0.4813558171741512,0.0,
